input,H1072075.JPG,H1072078.JPG,H1072080.JPG,H1072082.JPG,H1072084.JPG,H1072086.JPG,H1072088.JPG,H1072090.JPG,H1072092.JPG,H1072094.JPG,H1072096.JPG,H1072098.JPG,H1072100.JPG,H1072102.JPG,H1072104.JPG,H1072107.JPG,H1072110.JPG,H1072112.JPG,H1072114.JPG,H1072116.JPG,H1072118.JPG,H1072120.JPG,H1072122.JPG,H1072124.JPG,H1072126.JPG,H1072128.JPG,H1072130.JPG
117,118.470,117.348,116.729,117.328,116.878,117.843,117.084,116.478,116.555,75.316,89.650,107.913,125.184,141.594,158.760,117.560,116.243,117.923,116.774,116.707,116.286,117.371,116.752,117.437,117.169,116.339,115.791
118,119.461,118.351,117.742,118.306,117.853,118.809,118.078,117.470,117.552,76.305,90.633,108.870,126.175,142.575,159.741,118.549,117.320,118.974,117.797,117.716,117.256,118.305,117.616,118.323,118.124,117.441,116.782
119,120.448,119.330,118.742,119.282,118.841,119.782,119.073,118.470,118.547,77.281,91.629,109.842,127.155,143.573,160.747,119.549,118.366,120.004,118.799,118.697,118.205,119.262,118.513,119.207,119.090,118.553,117.766
120,121.441,120.281,119.745,120.261,119.847,120.763,120.074,119.495,119.564,78.264,92.632,110.836,128.156,144.570,161.747,120.551,119.399,121.007,119.802,119.679,119.155,120.212,119.435,120.096,120.051,119.653,118.765
121,122.485,121.238,120.741,121.253,120.862,121.751,121.074,120.499,120.573,79.253,93.630,111.834,129.146,145.580,162.744,121.552,120.438,122.008,120.812,120.685,120.115,121.179,120.366,120.961,121.011,120.727,119.782
122,123.574,122.164,121.729,122.218,121.863,122.765,122.088,121.500,121.612,80.253,94.637,112.825,130.133,146.587,163.723,122.581,121.480,123.009,121.838,121.691,121.089,122.177,121.339,121.833,121.988,121.830,120.810
123,124.685,123.069,122.687,123.173,122.871,123.777,123.118,122.505,122.688,81.254,95.648,113.851,131.140,147.599,164.727,123.669,122.501,123.981,122.843,122.695,122.079,123.171,122.333,122.675,122.979,122.924,121.878
124,125.824,123.958,123.631,124.132,123.895,124.792,124.164,123.544,123.802,82.286,96.657,114.857,132.148,148.644,165.745,124.776,123.513,124.999,123.868,123.701,123.097,124.188,123.342,123.488,123.951,124.005,122.952
125,126.964,124.847,124.549,125.090,124.917,125.808,125.232,124.635,124.926,83.314,97.661,115.867,133.147,149.666,166.736,125.921,124.538,126.025,124.891,124.719,124.132,125.180,124.361,124.311,124.914,125.077,124.059
126,128.100,125.734,125.453,126.021,125.906,126.822,126.280,125.734,126.057,84.367,98.683,116.892,134.158,150.671,167.700,127.058,125.561,127.053,125.924,125.733,125.147,126.163,125.372,125.133,125.845,126.164,125.175
127,129.251,126.591,126.342,126.949,126.867,127.845,127.329,126.839,127.198,85.437,99.687,117.894,135.141,151.644,168.656,128.199,126.565,128.054,126.924,126.714,126.129,127.156,126.385,125.936,126.779,127.240,126.278
128,130.411,127.428,127.210,127.854,127.799,128.862,128.365,127.942,128.326,86.488,100.688,118.911,136.120,152.597,169.603,129.348,127.554,129.032,127.901,127.695,127.118,128.130,127.373,126.749,127.677,128.286,127.410
129,131.584,128.246,128.065,128.738,128.701,129.881,129.419,129.053,129.461,87.534,101.695,119.896,137.112,153.526,170.515,130.508,128.524,129.992,128.873,128.672,128.090,129.105,128.339,127.564,128.564,129.328,128.538
130,132.740,129.037,128.902,129.622,129.630,130.907,130.497,130.164,130.607,88.581,102.721,120.863,138.086,154.446,171.403,131.671,129.492,130.973,129.844,129.637,129.064,130.096,129.311,128.404,129.462,130.351,129.660
131,133.942,129.823,129.736,130.502,130.577,131.922,131.601,131.295,131.801,89.659,103.788,121.852,139.065,155.366,172.282,132.871,130.477,131.955,130.836,130.621,130.036,131.076,130.289,129.240,130.375,131.397,130.821
132,135.173,130.589,130.567,131.373,131.533,132.941,132.713,132.465,133.030,90.742,104.857,122.850,140.058,156.304,173.157,134.103,131.466,132.926,131.816,131.617,131.036,132.072,131.281,130.120,131.319,132.452,132.017
133,136.440,131.347,131.398,132.256,132.506,133.994,133.855,133.661,134.254,91.815,105.923,123.869,141.060,157.268,174.050,135.349,132.453,133.941,132.826,132.616,132.037,133.084,132.274,131.013,132.254,133.526,133.280
134,137.723,132.066,132.218,133.134,133.480,135.065,134.993,134.847,135.511,92.890,106.986,124.876,142.056,158.242,174.994,136.643,133.473,134.943,133.830,133.634,133.055,134.089,133.292,131.934,133.206,134.610,134.574
135,139.036,132.749,133.025,134.013,134.455,136.132,136.146,136.090,136.804,93.959,108.067,125.912,143.056,159.179,175.935,137.931,134.483,135.948,134.850,134.667,134.077,135.098,134.299,132.848,134.162,135.704,135.879
136,140.362,133.423,133.826,134.913,135.424,137.192,137.278,137.309,138.114,95.041,109.151,126.985,144.066,160.103,176.863,139.266,135.501,136.956,135.849,135.704,135.115,136.100,135.308,133.797,135.138,136.798,137.190
137,141.751,134.083,134.592,135.797,136.390,138.260,138.403,138.577,139.444,96.160,110.234,128.040,145.050,161.024,177.790,140.633,136.513,137.963,136.846,136.711,136.132,137.106,136.312,134.730,136.086,137.865,138.497
138,143.117,134.718,135.321,136.666,137.349,139.320,139.513,139.889,140.788,97.275,111.297,129.071,146.002,161.945,178.691,141.979,137.528,138.948,137.844,137.689,137.119,138.103,137.291,135.644,137.013,138.921,139.827
139,144.478,135.320,136.026,137.544,138.289,140.362,140.632,141.200,142.142,98.383,112.360,130.115,146.952,162.880,179.579,143.325,138.526,139.948,138.847,138.673,138.093,139.094,138.284,136.537,137.951,140.006,141.171
140,145.852,135.896,136.701,138.367,139.207,141.394,141.752,142.464,143.524,99.493,113.419,131.126,147.899,163.797,180.459,144.691,139.519,140.936,139.847,139.664,139.082,140.083,139.289,137.433,138.891,141.066,142.507
141,147.236,136.465,137.379,139.187,140.103,142.389,142.898,143.736,144.906,100.609,114.502,132.121,148.854,164.697,181.323,146.056,140.508,141.889,140.840,140.643,140.082,141.077,140.290,138.344,139.875,142.113,143.900
142,148.629,137.027,138.070,140.000,141.001,143.380,144.044,144.973,146.320,101.738,115.595,133.124,149.808,165.583,182.186,147.464,141.518,142.854,141.843,141.631,141.104,142.067,141.296,139.257,140.879,143.188,145.298
143,150.079,137.563,138.748,140.815,141.917,144.370,145.199,146.236,147.746,102.870,116.710,134.156,150.772,166.461,183.047,148.889,142.528,143.824,142.853,142.635,142.150,143.070,142.310,140.163,141.860,144.253,146.703
144,151.480,138.098,139.437,141.635,142.858,145.379,146.380,147.521,149.206,104.008,117.792,135.184,151.720,167.326,183.853,150.316,143.510,144.786,143.837,143.624,143.151,144.048,143.309,141.074,142.833,145.320,148.128
145,152.930,138.626,140.133,142.474,143.811,146.431,147.590,148.864,150.719,105.196,118.905,136.226,152.669,168.212,184.667,151.777,144.497,145.745,144.816,144.626,144.163,145.026,144.305,142.006,143.824,146.406,149.618
146,154.476,139.173,140.828,143.317,144.779,147.525,148.836,150.270,152.218,106.431,120.053,137.279,153.643,169.117,185.481,153.278,145.484,146.720,145.798,145.623,145.164,146.015,145.310,142.961,144.819,147.514,151.178
147,156.069,139.710,141.515,144.137,145.741,148.678,150.079,151.660,153.736,107.698,121.187,138.327,154.633,170.041,186.294,154.839,146.496,147.747,146.799,146.633,146.182,147.026,146.321,143.912,145.791,148.616,152.728
148,157.680,140.238,142.191,144.938,146.674,149.802,151.317,153.000,155.299,108.931,122.306,139.384,155.620,170.972,187.128,156.410,147.510,148.820,147.819,147.650,147.180,148.034,147.321,144.853,146.750,149.692,154.255
149,159.209,140.735,142.838,145.708,147.564,150.859,152.566,154.309,156.824,110.117,123.398,140.399,156.593,171.884,187.967,157.965,148.512,149.853,148.827,148.660,148.168,149.050,148.325,145.756,147.671,150.734,155.768
150,160.720,141.224,143.466,146.461,148.442,151.869,153.797,155.602,158.354,111.251,124.484,141.427,157.571,172.791,188.787,159.492,149.511,150.848,149.831,149.675,149.172,150.080,149.332,146.625,148.559,151.756,157.268
151,162.196,141.713,144.099,147.208,149.324,152.867,155.028,156.918,159.873,112.395,125.572,142.449,158.556,173.683,189.581,160.992,150.521,151.839,150.841,150.685,150.186,151.082,150.338,147.488,149.459,152.802,158.775
152,163.647,142.203,144.731,147.948,150.214,153.871,156.235,158.280,161.395,113.569,126.670,143.469,159.535,174.556,190.358,162.475,151.545,152.838,151.858,151.695,151.205,152.082,151.345,148.339,150.353,153.883,160.305
153,165.131,142.689,145.363,148.700,151.135,154.931,157.432,159.677,162.882,114.769,127.779,144.491,160.489,175.433,191.140,163.961,152.566,153.823,152.867,152.696,152.221,153.078,152.360,149.215,151.267,154.972,161.856
154,166.680,143.169,145.993,149.470,152.084,156.011,158.593,161.062,164.364,115.976,128.868,145.533,161.430,176.295,191.917,165.463,153.568,154.820,153.852,153.689,153.228,154.088,153.357,150.081,152.198,156.050,163.351
155,168.220,143.629,146.613,150.231,153.030,157.082,159.799,162.437,165.851,117.175,129.918,146.576,162.373,177.160,192.684,166.986,154.557,155.834,154.851,154.681,154.220,155.094,154.342,150.903,153.125,157.177,164.808
156,169.709,144.085,147.220,150.967,153.947,158.126,161.011,163.815,167.354,118.352,130.974,147.619,163.307,178.035,193.455,168.505,155.551,156.835,155.838,155.672,155.204,156.088,155.340,151.734,154.034,158.336,166.288
157,171.231,144.544,147.842,151.707,154.842,159.180,162.243,165.203,168.907,119.547,132.086,148.689,164.265,178.945,194.256,170.034,156.556,157.846,156.845,156.671,156.219,157.080,156.350,152.567,154.926,159.466,167.808
158,172.767,145.008,148.463,152.447,155.751,160.255,163.487,166.571,170.442,120.770,133.227,149.722,165.193,179.834,195.064,171.568,157.567,158.825,157.851,157.669,157.230,158.074,157.366,153.405,155.820,160.614,169.341
159,174.279,145.481,149.098,153.194,156.676,161.352,164.745,167.976,172.028,122.028,134.433,150.771,166.122,180.714,195.881,173.112,158.574,159.809,158.851,158.662,158.250,159.075,158.383,154.260,156.698,161.748,170.915
160,175.784,145.964,149.731,153.947,157.637,162.471,165.981,169.378,173.618,123.308,135.657,151.838,167.085,181.589,196.663,174.641,159.581,160.785,159.866,159.695,159.266,160.071,159.404,155.125,157.607,162.877,172.573
161,177.399,146.454,150.368,154.711,158.625,163.594,167.257,170.774,175.144,124.608,136.885,152.937,168.075,182.436,197.423,176.159,160.592,161.812,160.886,160.707,160.285,161.069,160.418,155.990,158.542,164.014,174.222
162,179.077,146.937,150.996,155.486,159.581,164.731,168.524,172.114,176.660,125.923,138.080,154.055,169.079,183.293,198.174,177.749,161.591,162.826,161.885,161.691,161.263,162.074,161.412,156.834,159.444,165.082,175.751
163,180.691,147.408,151.611,156.270,160.524,165.874,169.780,173.463,178.243,127.223,139.247,155.134,170.066,184.146,198.898,179.364,162.578,163.865,162.871,162.677,162.228,163.061,162.381,157.680,160.334,166.153,177.229
164,182.183,147.869,152.223,157.058,161.445,166.984,171.031,174.833,179.822,128.489,140.387,156.192,171.032,184.998,199.647,180.924,163.568,164.876,163.861,163.666,163.187,164.052,163.349,158.517,161.232,167.217,178.736
165,183.687,148.330,152.844,157.867,162.381,168.096,172.281,176.232,181.376,129.765,141.546,157.230,171.984,185.882,200.406,182.433,164.586,165.913,164.877,164.675,164.209,165.097,164.358,159.367,162.130,168.241,180.304
166,185.293,148.801,153.481,158.687,163.331,169.216,173.616,177.710,182.936,131.071,142.727,158.271,172.918,186.780,201.181,183.988,165.644,166.977,165.938,165.728,165.265,166.167,165.408,160.220,163.057,169.262,181.865
167,186.939,149.277,154.116,159.506,164.284,170.336,174.922,179.161,184.506,132.405,143.931,159.342,173.864,187.662,201.955,185.608,166.717,168.050,167.019,166.792,166.328,167.239,166.477,161.061,163.986,170.310,183.421
168,188.532,149.749,154.728,160.312,165.198,171.454,176.208,180.562,186.110,133.744,145.131,160.416,174.827,188.533,202.690,187.234,167.770,169.076,168.069,167.848,167.388,168.286,167.536,161.892,164.917,171.386,184.994
169,190.021,150.222,155.323,161.103,166.116,172.545,177.452,181.913,187.714,135.034,146.289,161.446,175.774,189.375,203.398,188.775,168.769,170.024,169.061,168.874,168.416,169.273,168.557,162.690,165.828,172.472,186.574
170,191.451,150.696,155.921,161.860,167.006,173.616,178.633,183.218,189.248,136.282,147.430,162.452,176.711,190.178,204.084,190.184,169.720,170.972,170.015,169.841,169.400,170.215,169.540,163.480,166.745,173.579,188.153
171,192.875,151.171,156.506,162.592,167.882,174.674,179.765,184.448,190.626,137.480,148.557,163.440,177.626,190.964,204.767,191.559,170.632,171.919,170.932,170.780,170.326,171.119,170.470,164.253,167.632,174.648,189.612
172,194.327,151.653,157.092,163.328,168.761,175.760,180.963,185.703,192.033,138.694,149.657,164.435,178.555,191.746,205.452,192.968,171.564,172.894,171.872,171.718,171.253,172.060,171.405,165.038,168.523,175.724,190.980
173,195.790,152.139,157.710,164.094,169.681,176.819,182.197,187.043,193.467,139.899,150.768,165.447,179.498,192.554,206.143,194.439,172.533,173.873,172.850,172.690,172.206,173.039,172.348,165.849,169.442,176.848,192.365
174,197.279,152.639,158.334,164.898,170.634,177.851,183.441,188.408,194.939,141.136,151.925,166.487,180.437,193.377,206.841,195.920,173.532,174.858,173.853,173.676,173.178,174.038,173.351,166.687,170.396,178.047,193.836
175,198.779,153.147,158.957,165.711,171.562,178.870,184.646,189.789,196.441,142.381,153.110,167.557,181.387,194.205,207.553,197.436,174.545,175.866,174.854,174.675,174.193,175.056,174.359,167.548,171.396,179.317,195.343
176,200.224,153.660,159.598,166.520,172.483,179.896,185.804,191.179,197.952,143.662,154.317,168.650,182.350,195.024,208.262,198.923,175.537,176.869,175.842,175.686,175.200,176.075,175.354,168.422,172.397,180.557,196.828
177,201.651,154.188,160.254,167.323,173.407,180.949,186.992,192.547,199.395,144.977,155.474,169.703,183.330,195.853,208.969,200.360,176.516,177.905,176.856,176.675,176.183,177.068,176.337,169.290,173.378,181.719,198.330
178,203.132,154.723,160.924,168.134,174.332,182.029,188.196,193.850,200.787,146.313,156.624,170.736,184.302,196.686,209.641,201.755,177.491,178.901,177.859,177.669,177.170,178.066,177.330,170.162,174.355,182.837,199.772
179,204.598,155.268,161.605,168.961,175.280,183.093,189.388,195.128,202.218,147.643,157.803,171.814,185.251,197.535,210.320,203.205,178.485,179.928,178.863,178.660,178.166,179.063,178.317,171.027,175.308,183.949,201.150
180,205.985,155.815,162.278,169.748,176.198,184.090,190.480,196.372,203.666,148.924,158.990,172.876,186.144,198.362,211.009,204.640,179.497,180.927,179.839,179.635,179.141,180.052,179.309,171.885,176.209,185.056,202.557
181,207.422,156.381,162.968,170.533,177.135,185.106,191.598,197.697,205.129,150.235,160.179,173.930,187.047,199.170,211.729,206.078,180.517,181.917,180.836,180.639,180.150,181.055,180.318,172.761,177.125,186.165,204.023
182,208.901,156.952,163.678,171.311,178.081,186.125,192.709,198.984,206.534,151.572,161.327,174.939,187.946,199.943,212.457,207.502,181.483,182.929,181.831,181.634,181.140,182.069,181.316,173.642,178.093,187.294,205.462
183,210.329,157.490,164.375,172.076,178.998,187.153,193.856,200.216,207.918,152.871,162.468,175.961,188.846,200.695,213.155,208.929,182.437,183.912,182.798,182.590,182.117,183.050,182.289,174.505,179.026,188.337,206.797
184,211.734,158.032,165.080,172.844,179.892,188.186,195.008,201.444,209.301,154.106,163.591,176.996,189.759,201.450,213.823,210.352,183.402,184.885,183.758,183.544,183.094,183.996,183.235,175.343,179.933,189.337,208.166
185,213.029,158.553,165.767,173.607,180.735,189.153,196.083,202.645,210.638,155.277,164.657,177.975,190.603,202.188,214.426,211.667,184.338,185.802,184.675,184.472,184.013,184.907,184.138,176.120,180.779,190.269,209.524
186,214.334,159.128,166.506,174.443,181.655,190.161,197.178,203.938,212.010,156.576,165.780,178.967,191.479,202.988,215.050,212.990,185.312,186.761,185.642,185.454,184.993,185.867,185.108,176.969,181.663,191.253,210.942
187,215.679,159.745,167.270,175.309,182.617,191.186,198.322,205.245,213.400,157.934,166.989,180.062,192.397,203.809,215.709,214.367,186.328,187.775,186.655,186.464,185.997,186.864,186.119,177.863,182.587,192.332,212.386
188,217.041,160.387,168.011,176.144,183.532,192.238,199.438,206.423,214.754,159.277,168.180,181.153,193.313,204.610,216.367,215.680,187.310,188.763,187.654,187.447,186.982,187.856,187.116,178.727,183.500,193.378,213.749
189,218.396,161.074,168.766,176.972,184.473,193.317,200.583,207.584,216.117,160.665,169.366,182.287,194.266,205.416,217.041,217.033,188.311,189.802,188.662,188.438,187.983,188.873,188.125,179.611,184.449,194.419,215.091
190,219.708,161.823,169.558,177.833,185.491,194.407,201.766,208.832,217.542,162.115,170.553,183.428,195.222,206.270,217.744,218.408,189.353,190.844,189.697,189.477,189.012,189.917,189.149,180.531,185.460,195.482,216.474
191,221.087,162.641,170.392,178.768,186.584,195.533,203.030,210.164,218.961,163.635,171.880,184.591,196.196,207.167,218.471,219.794,190.451,191.956,190.779,190.559,190.112,191.007,190.225,181.499,186.495,196.577,217.918
192,222.368,163.428,171.187,179.689,187.612,196.588,204.216,211.384,220.263,165.095,173.146,185.630,197.122,207.981,219.138,221.068,191.466,193.000,191.801,191.572,191.130,192.054,191.251,182.429,187.480,197.609,219.242
193,223.575,164.209,171.978,180.613,188.584,197.632,205.358,212.524,221.507,166.502,174.322,186.649,198.067,208.782,219.777,222.292,192.457,194.008,192.801,192.577,192.135,193.076,192.260,183.383,188.478,198.624,220.508
194,224.706,164.963,172.752,181.497,189.507,198.629,206.417,213.647,222.679,167.787,175.438,187.654,199.016,209.550,220.402,223.443,193.424,194.950,193.764,193.549,193.099,194.069,193.242,184.340,189.461,199.633,221.709
195,225.859,165.749,173.592,182.399,190.453,199.645,207.461,214.787,223.847,169.074,176.648,188.661,199.984,210.335,221.052,224.615,194.404,195.888,194.734,194.534,194.095,195.031,194.225,185.358,190.471,200.667,222.901
196,227.018,166.596,174.490,183.330,191.431,200.696,208.536,215.959,225.049,170.454,177.917,189.719,200.968,211.152,221.707,225.798,195.381,196.883,195.724,195.521,195.101,196.004,195.217,186.406,191.501,201.710,224.085
197,228.136,167.489,175.418,184.290,192.441,201.762,209.627,217.142,226.256,171.879,179.180,190.783,201.946,211.982,222.386,226.992,196.389,197.948,196.760,196.538,196.115,197.012,196.213,187.498,192.586,202.806,225.299
198,229.153,168.335,176.294,185.206,193.392,202.762,210.703,218.277,227.385,173.197,180.358,191.841,202.888,212.786,223.038,228.070,197.390,198.906,197.776,197.523,197.105,198.005,197.199,188.547,193.634,203.874,226.464
199,230.093,169.161,177.152,186.108,194.316,203.708,211.739,219.365,228.470,174.478,181.558,192.878,203.798,213.562,223.646,229.075,198.395,199.816,198.758,198.512,198.120,198.967,198.198,189.604,194.678,204.949,227.607
200,231.103,170.064,178.039,187.047,195.257,204.673,212.798,220.475,229.558,175.842,182.866,193.980,204.749,214.362,224.294,230.112,199.389,200.765,199.733,199.495,199.147,199.926,199.222,190.701,195.746,206.034,228.737
201,232.137,171.060,179.000,188.042,196.237,205.683,213.845,221.569,230.632,177.281,184.170,195.095,205.746,215.182,224.965,231.184,200.387,201.771,200.722,200.489,200.162,200.929,200.245,191.908,196.865,207.152,229.869
202,233.199,172.107,180.027,189.063,197.249,206.713,214.863,222.665,231.715,178.690,185.463,196.220,206.752,215.989,225.632,232.266,201.420,202.806,201.746,201.504,201.163,201.954,201.256,193.132,198.039,208.301,230.964
203,234.251,173.145,181.061,190.109,198.293,207.755,215.895,223.749,232.778,180.082,186.767,197.335,207.729,216.780,226.304,233.344,202.470,203.856,202.797,202.559,202.212,203.026,202.290,194.363,199.227,209.480,232.044
204,235.253,174.155,182.089,191.106,199.322,208.769,216.911,224.816,233.823,181.479,188.060,198.438,208.659,217.553,226.965,234.380,203.487,204.868,203.827,203.598,203.254,204.071,203.325,195.598,200.405,210.684,233.096
205,236.200,175.121,183.097,192.066,200.302,209.736,217.892,225.835,234.831,182.830,189.288,199.525,209.517,218.286,227.567,235.345,204.476,205.793,204.806,204.590,204.251,205.041,204.327,196.820,201.522,211.840,234.113
206,237.131,176.098,184.053,192.992,201.253,210.709,218.851,226.819,235.801,184.100,190.498,200.586,210.364,219.011,228.176,236.281,205.447,206.694,205.764,205.556,205.237,205.963,205.294,198.005,202.635,212.971,235.101
207,238.010,177.099,185.038,193.962,202.180,211.681,219.774,227.755,236.748,185.371,191.716,201.615,211.219,219.735,228.765,237.187,206.388,207.607,206.677,206.474,206.174,206.876,206.232,199.234,203.763,214.093,236.073
208,238.858,178.202,186.126,195.029,203.170,212.670,220.738,228.733,237.710,186.745,192.967,202.698,212.133,220.524,229.392,238.112,207.378,208.619,207.662,207.458,207.159,207.859,207.216,200.544,204.999,215.378,237.064
209,239.678,179.394,187.259,196.148,204.247,213.664,221.714,229.723,238.621,188.170,194.268,203.814,213.102,221.348,230.047,239.002,208.435,209.663,208.724,208.509,208.191,208.915,208.283,201.879,206.268,216.797,238.040
210,240.457,180.606,188.373,197.244,205.337,214.621,222.663,230.664,239.457,189.574,195.552,204.912,214.051,222.154,230.648,239.820,209.469,210.652,209.751,209.543,209.255,209.933,209.338,203.205,207.517,218.124,238.936
211,241.162,181.758,189.462,198.278,206.346,215.548,223.539,231.520,240.236,190.861,196.771,205.973,214.935,222.909,231.210,240.573,210.429,211.591,210.708,210.507,210.248,210.873,210.317,204.504,208.704,219.321,239.754
212,241.880,183.003,190.667,199.336,207.362,216.538,224.408,232.382,241.044,192.296,198.113,207.120,215.829,223.678,231.777,241.348,211.459,212.546,211.737,211.542,211.291,211.897,211.360,205.806,209.964,220.591,240.600
213,242.561,184.251,191.863,200.436,208.399,217.485,225.265,233.228,241.853,193.753,199.520,208.298,216.688,224.416,232.329,242.128,212.535,213.475,212.791,212.605,212.370,212.925,212.448,207.159,211.305,221.953,241.446
214,243.250,185.462,193.005,201.606,209.460,218.402,226.142,234.054,242.631,195.109,200.960,209.447,217.565,225.163,232.914,242.870,213.576,214.425,213.803,213.630,213.436,213.905,213.500,208.562,212.682,223.423,242.290
215,243.946,186.741,194.237,202.827,210.502,219.366,227.065,234.869,243.374,196.511,202.351,210.584,218.513,225.936,233.488,243.553,214.651,215.479,214.850,214.695,214.512,214.964,214.564,209.889,213.998,224.906,243.100
216,244.588,188.063,195.465,203.949,211.480,220.311,227.907,235.631,244.031,197.927,203.556,211.664,219.445,226.691,234.063,244.216,215.687,216.504,215.871,215.728,215.549,216.023,215.602,211.168,215.290,226.264,243.763
217,245.219,189.533,196.735,205.110,212.562,221.282,228.717,236.419,244.680,199.397,204.784,212.785,220.403,227.482,234.654,244.866,216.682,217.484,216.874,216.744,216.562,217.026,216.622,212.605,216.737,227.620,244.411
218,245.832,191.026,198.082,206.260,213.707,222.252,229.555,237.238,245.322,200.874,206.124,213.942,221.382,228.301,235.243,245.487,217.692,218.457,217.875,217.742,217.570,218.014,217.628,213.992,218.119,229.084,245.069
219,246.342,192.432,199.308,207.398,214.769,223.158,230.387,237.989,245.928,202.318,207.406,215.036,222.302,229.069,235.785,246.075,218.644,219.406,218.826,218.681,218.526,218.935,218.579,215.286,219.396,230.427,245.674
220,246.868,193.824,200.577,208.562,215.830,224.046,231.234,238.651,246.418,203.666,208.650,216.075,223.200,229.821,236.304,246.538,219.614,220.389,219.797,219.653,219.493,219.914,219.543,216.553,220.643,231.715,246.208
221,247.374,195.244,201.916,209.762,217.012,224.942,232.067,239.351,246.975,204.976,210.036,217.225,224.136,230.598,236.896,247.080,220.690,221.387,220.839,220.703,220.546,220.969,220.591,217.806,221.871,232.995,246.727
222,247.871,196.553,203.192,210.872,218.140,225.781,232.862,240.072,247.515,206.262,211.460,218.409,225.036,231.395,237.518,247.607,221.751,222.371,221.873,221.755,221.637,221.995,221.665,219.092,223.091,234.204,247.338
223,248.365,197.907,204.527,211.975,219.214,226.666,233.689,240.744,248.035,207.631,212.746,219.503,225.859,232.100,238.159,248.146,222.715,223.293,222.809,222.708,222.610,222.892,222.627,220.306,224.294,235.290,247.879
224,248.774,199.516,205.976,213.310,220.366,227.558,234.492,241.418,248.560,209.167,214.186,220.709,226.858,232.881,238.841,248.653,223.764,224.306,223.875,223.795,223.703,223.965,223.702,221.602,225.596,236.465,248.449
225,249.215,201.227,207.450,214.715,221.465,228.529,235.285,241.977,248.943,210.756,215.585,221.782,227.794,233.662,239.434,248.999,224.828,225.397,224.937,224.854,224.751,225.039,224.765,222.833,226.805,237.566,248.851
226,249.712,202.844,208.980,216.022,222.491,229.547,236.000,242.608,249.478,212.358,216.851,222.781,228.733,234.374,239.891,249.515,225.807,226.459,225.958,225.852,225.735,226.045,225.758,224.058,227.920,238.565,249.310
227,250.025,204.480,210.481,217.443,223.560,230.640,236.851,243.218,249.869,213.921,217.965,223.786,229.729,235.074,240.566,249.873,226.801,227.577,226.974,226.834,226.704,227.047,226.722,225.287,229.088,239.549,249.766
228,253.038,205.816,211.892,218.895,224.930,231.939,238.942,244.687,251.195,215.155,219.299,224.973,230.921,236.182,241.582,250.894,227.969,228.882,228.153,227.918,227.879,228.283,227.835,226.367,230.331,240.805,250.403
229,,,,,,,,,,,219.845,225.929,,,251.477,,,,,228.923,228.830,228.990,,,230.877,240.988,
230,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,,,,,,,,,,
