input,H1072075.JPG,H1072078.JPG,H1072080.JPG,H1072082.JPG,H1072084.JPG,H1072086.JPG,H1072088.JPG,H1072090.JPG,H1072092.JPG,H1072094.JPG,H1072096.JPG,H1072098.JPG,H1072100.JPG,H1072102.JPG,H1072104.JPG,H1072107.JPG,H1072110.JPG,H1072112.JPG,H1072114.JPG,H1072116.JPG,H1072118.JPG,H1072120.JPG,H1072122.JPG,H1072124.JPG,H1072126.JPG,H1072128.JPG,H1072130.JPG
28,28.376,28.067,27.953,27.951,27.950,28.304,27.986,28.049,27.762,10.733,16.966,24.273,31.273,38.264,45.274,28.296,9.646,17.134,24.435,31.410,38.491,46.283,53.481,34.611,31.232,23.013,27.564
29,29.416,29.050,28.947,28.985,28.953,29.290,28.996,29.013,28.771,11.183,17.606,25.150,32.355,39.597,46.873,29.329,10.268,17.927,25.281,32.457,39.726,47.737,55.042,35.929,32.349,23.925,28.563
30,30.495,30.074,29.979,30.045,29.980,30.308,30.024,29.982,29.834,11.671,18.256,26.027,33.506,40.922,48.461,30.361,10.918,18.731,26.119,33.473,40.961,49.128,56.508,37.268,33.502,24.880,29.574
31,31.606,31.152,31.033,31.128,31.029,31.332,31.085,31.003,30.889,12.166,18.923,26.939,34.695,42.269,50.046,31.435,11.649,19.580,26.985,34.497,42.194,50.489,57.942,38.652,34.674,25.867,30.607
32,32.693,32.244,32.081,32.186,32.075,32.352,32.166,32.037,31.946,12.675,19.599,27.859,35.855,43.636,51.558,32.496,12.395,20.447,27.881,35.528,43.383,51.755,59.327,40.079,35.858,26.851,31.666
33,33.686,33.254,33.077,33.179,33.082,33.330,33.177,33.023,32.934,13.163,20.269,28.762,36.931,44.930,52.983,33.490,13.124,21.312,28.778,36.538,44.494,52.922,60.631,41.381,37.005,27.800,32.675
34,34.592,34.172,33.974,34.104,34.000,34.255,34.099,33.937,33.864,13.628,20.912,29.621,37.939,46.174,54.304,34.400,13.822,22.153,29.681,37.528,45.535,54.013,61.863,42.532,38.079,28.677,33.602
35,35.463,35.060,34.855,34.976,34.853,35.119,34.943,34.790,34.729,14.076,21.529,30.443,38.929,47.308,55.526,35.270,14.510,22.941,30.566,38.505,46.530,55.028,63.049,43.612,39.080,29.508,34.473
36,36.364,35.943,35.722,35.862,35.741,36.026,35.774,35.664,35.597,14.533,22.166,31.286,39.913,48.442,56.783,36.168,15.228,23.742,31.464,39.511,47.534,56.052,64.237,44.711,40.057,30.336,35.354
37,37.297,36.881,36.659,36.786,36.679,37.011,36.686,36.616,36.531,15.022,22.834,32.168,40.931,49.610,58.135,37.104,15.999,24.564,32.399,40.537,48.542,57.108,65.419,45.877,41.049,31.179,36.280
38,38.265,37.855,37.662,37.756,37.696,38.042,37.667,37.635,37.495,15.523,23.540,33.070,41.972,50.820,59.606,38.086,16.818,25.432,33.385,41.606,49.599,58.232,66.621,47.014,42.036,32.075,37.269
39,39.283,38.851,38.705,38.772,38.706,39.072,38.675,38.660,38.486,16.044,24.265,33.974,43.056,52.079,61.161,39.101,17.706,26.349,34.408,42.662,50.686,59.392,67.840,48.148,43.060,33.036,38.273
40,40.286,39.863,39.724,39.783,39.701,40.084,39.687,39.687,39.491,16.556,24.994,34.866,44.173,53.376,62.693,40.111,18.615,27.312,35.473,43.695,51.773,60.566,69.039,49.267,44.069,33.968,39.278
41,41.258,40.829,40.691,40.763,40.674,41.063,40.656,40.669,40.454,17.047,25.697,35.734,45.262,54.665,64.210,41.084,19.531,28.264,36.475,44.682,52.816,61.690,70.170,50.323,45.049,34.876,40.228
42,42.220,41.792,41.621,41.698,41.627,42.028,41.616,41.627,41.386,17.539,26.380,36.570,46.331,55.904,65.640,42.019,20.444,29.213,37.432,45.633,53.843,62.738,71.234,51.320,46.008,35.766,41.143
43,43.219,42.782,42.572,42.645,42.601,43.012,42.598,42.598,42.349,18.046,27.071,37.421,47.413,57.144,67.112,42.988,21.398,30.168,38.363,46.576,54.886,63.776,72.268,52.316,47.003,36.703,42.069
44,44.252,43.795,43.575,43.657,43.623,44.035,43.613,43.595,43.354,18.600,27.790,38.324,48.547,58.478,68.653,44.001,22.405,31.162,39.341,47.582,55.969,64.834,73.305,53.330,48.014,37.683,43.066
45,45.332,44.850,44.619,44.695,44.664,45.095,44.669,44.614,44.391,19.168,28.538,39.257,49.706,59.860,70.202,45.030,23.441,32.219,40.364,48.652,57.063,65.881,74.346,54.388,49.024,38.703,44.106
46,46.420,45.917,45.680,45.793,45.741,46.172,45.745,45.660,45.455,19.738,29.280,40.187,50.891,61.257,71.777,46.098,24.500,33.285,41.415,49.759,58.141,66.899,75.328,55.434,50.049,39.792,45.163
47,47.524,46.990,46.751,46.901,46.805,47.246,46.840,46.706,46.528,20.327,30.026,41.106,52.081,62.633,73.311,47.209,25.582,34.365,42.490,50.867,59.192,67.887,76.259,56.444,51.065,40.886,46.217
48,48.621,48.075,47.806,48.005,47.858,48.308,47.905,47.774,47.616,20.921,30.790,42.030,53.232,63.961,74.818,48.320,26.687,35.465,43.553,51.927,60.201,68.849,77.180,57.417,52.046,41.956,47.275
49,49.669,49.117,48.850,49.061,48.909,49.352,48.974,48.826,48.666,21.520,31.523,42.950,54.365,65.204,76.272,49.377,27.777,36.573,44.596,52.929,61.175,69.774,78.043,58.320,53.017,42.983,48.320
50,50.692,50.150,49.872,50.086,49.912,50.388,50.022,49.831,49.694,22.112,32.238,43.902,55.481,66.404,77.704,50.409,28.895,37.678,45.626,53.919,62.111,70.660,78.865,59.192,53.965,43.975,49.327
51,51.713,51.154,50.863,51.080,50.895,51.386,51.037,50.832,50.688,22.729,32.970,44.861,56.555,67.593,79.102,51.428,30.029,38.776,46.660,54.904,63.017,71.513,79.655,60.025,54.901,44.951,50.319
52,52.745,52.165,51.873,52.066,51.909,52.412,52.019,51.812,51.671,23.333,33.691,45.814,57.619,68.768,80.460,52.440,31.182,39.854,47.676,55.875,63.878,72.339,80.400,60.853,55.861,45.926,51.322
53,53.775,53.159,52.872,53.064,52.923,53.447,53.024,52.815,52.669,23.948,34.443,46.748,58.682,69.957,81.808,53.470,32.351,40.940,48.726,56.845,64.739,73.155,81.124,61.689,56.826,46.921,52.329
54,54.814,54.182,53.907,54.088,53.965,54.492,54.032,53.830,53.684,24.569,35.213,47.670,59.773,71.190,83.164,54.501,33.525,42.119,49.762,57.799,65.614,73.974,81.850,62.535,57.775,47.898,53.344
55,55.872,55.239,54.953,55.143,55.004,55.546,55.086,54.888,54.740,25.208,35.992,48.601,60.872,72.490,84.549,55.547,34.730,43.333,50.821,58.752,66.504,74.793,82.565,63.405,58.764,48.890,54.378
56,56.909,56.287,55.968,56.186,56.061,56.618,56.144,55.956,55.817,25.869,36.786,49.542,61.979,73.796,85.963,56.593,35.987,44.530,51.895,59.739,67.381,75.592,83.274,64.300,59.769,49.896,55.425
57,57.937,57.324,56.997,57.236,57.095,57.650,57.191,57.000,56.860,26.533,37.609,50.488,63.080,75.077,87.363,57.625,37.302,45.729,52.991,60.716,68.261,76.389,83.971,65.230,60.820,50.894,56.469
