input,H1072175.JPG,H1072177.JPG,H1072179.JPG
227,249.237,245.524,226.977
228,249.651,245.928,227.974
229,249.950,246.389,228.935
230,250.621,246.807,229.792
231,251.017,248.724,230.907
232,,,
233,,,
234,,,
235,,,
236,,,
237,,,
238,,,
239,,,
240,,,
241,,,
242,,,
243,,,
244,,,
245,,,
246,,,
247,,,
248,,,
249,,,
250,,,
251,,,
252,,,
253,,,
254,,,
255,,,
