input,H1072055.JPG,H1072057.JPG,H1072059.JPG,H1072061.JPG,H1072063.JPG,H1072065.JPG,H1072067.JPG,H1072069.JPG,H1072071.JPG
130,130.216,188.378,71.022,127.558,131.359,132.492,76.343,191.038,132.621
131,131.413,189.238,72.126,128.532,132.467,133.717,77.835,192.100,134.009
132,132.660,190.098,73.249,129.519,133.587,134.946,79.397,193.187,135.468
133,133.923,190.933,74.390,130.508,134.733,136.197,80.981,194.265,136.942
134,135.174,191.793,75.528,131.504,135.897,137.505,82.588,195.359,138.443
135,136.445,192.651,76.673,132.525,137.093,138.811,84.146,196.440,139.978
136,137.734,193.531,77.832,133.570,138.293,140.183,85.771,197.509,141.527
137,139.055,194.404,79.008,134.590,139.484,141.543,87.406,198.561,143.072
138,140.392,195.257,80.178,135.595,140.669,142.925,89.084,199.583,144.664
139,141.744,196.103,81.350,136.589,141.809,144.264,90.750,200.590,146.275
140,143.082,196.911,82.497,137.583,142.941,145.615,92.386,201.547,147.894
141,144.483,197.685,83.653,138.593,144.083,146.982,94.014,202.458,149.536
142,145.902,198.453,84.807,139.620,145.197,148.357,95.636,203.362,151.221
143,147.319,199.212,85.981,140.655,146.316,149.804,97.281,204.241,152.886
144,148.782,199.963,87.181,141.694,147.418,151.278,98.970,205.108,154.517
145,150.271,200.705,88.419,142.751,148.549,152.748,100.698,205.966,156.183
146,151.783,201.468,89.653,143.798,149.715,154.251,102.507,206.823,157.869
147,153.281,202.231,90.915,144.851,150.900,155.829,104.350,207.667,159.622
148,154.787,202.996,92.161,145.849,152.056,157.448,106.206,208.498,161.365
149,156.324,203.750,93.378,146.801,153.168,158.976,108.001,209.297,163.090
150,157.880,204.507,94.575,147.748,154.262,160.459,109.711,210.042,164.805
151,159.394,205.266,95.809,148.730,155.345,161.917,111.427,210.802,166.556
152,160.913,206.046,97.067,149.768,156.452,163.364,113.142,211.561,168.347
153,162.406,206.806,98.345,150.829,157.600,164.833,114.925,212.327,170.111
154,163.888,207.547,99.604,151.867,158.756,166.364,116.737,213.075,171.858
155,165.379,208.266,100.874,152.867,159.927,167.874,118.535,213.776,173.684
156,166.887,208.989,102.167,153.854,161.118,169.377,120.339,214.470,175.520
157,168.428,209.685,103.486,154.850,162.333,170.910,122.151,215.167,177.343
158,169.944,210.379,104.829,155.872,163.561,172.471,123.935,215.860,179.168
159,171.550,211.076,106.154,156.897,164.772,173.996,125.716,216.518,181.010
160,173.173,211.748,107.497,157.929,165.943,175.502,127.547,217.170,182.869
161,174.735,212.425,108.854,158.970,167.131,177.080,129.469,217.801,184.724
162,176.209,213.091,110.243,159.981,168.357,178.758,131.402,218.410,186.605
