input,H1072136.JPG,H1072138.JPG,H1072140.JPG,H1072142.JPG,H1072144.JPG
144,157.569,141.015,148.124,157.991,163.132
145,158.817,142.144,149.253,159.292,163.875
146,160.129,143.342,150.425,160.623,164.609
147,161.484,144.530,151.622,161.982,165.357
148,162.828,145.704,152.788,163.311,166.115
149,164.118,146.848,153.910,164.561,166.870
150,165.332,147.974,154.999,165.724,167.626
151,166.507,149.098,156.075,166.894,168.412
152,167.684,150.251,157.168,168.059,169.210
153,168.874,151.439,158.323,169.238,170.041
154,170.038,152.609,159.500,170.407,170.870
155,171.193,153.748,160.688,171.583,171.707
156,172.360,154.860,161.909,172.765,172.540
157,173.531,155.973,163.111,173.900,173.373
158,174.672,157.088,164.311,175.048,174.199
159,175.816,158.215,165.475,176.194,175.022
160,176.976,159.366,166.676,177.379,175.884
161,178.158,160.527,167.898,178.577,176.752
162,179.373,161.663,169.161,179.788,177.622
163,180.556,162.789,170.387,180.955,178.471
164,181.733,163.889,171.546,182.126,179.321
165,182.943,165.015,172.709,183.344,180.205
166,184.167,166.137,173.896,184.559,181.083
167,185.365,167.252,175.103,185.759,181.972
168,186.506,168.335,176.242,186.887,182.862
169,187.640,169.386,177.381,188.028,183.740
170,188.795,170.416,178.531,189.200,184.639
171,189.978,171.426,179.702,190.402,185.520
172,191.165,172.420,180.936,191.605,186.385
173,192.363,173.441,182.153,192.804,187.270
174,193.579,174.517,183.397,194.006,188.171
175,194.789,175.602,184.657,195.196,189.069
176,195.959,176.647,185.905,196.353,189.931
177,197.105,177.718,187.167,197.560,190.744
178,198.318,178.799,188.404,198.757,191.547
179,199.508,179.893,189.661,199.942,192.363
180,200.666,180.971,190.885,201.080,193.202
181,201.803,182.082,192.150,202.260,194.070
182,202.950,183.161,193.404,203.415,194.904
183,204.044,184.145,194.604,204.495,195.680
184,205.125,185.111,195.751,205.567,196.436
185,206.141,186.024,196.796,206.582,197.160
186,207.237,186.989,197.864,207.638,197.950
187,208.332,188.014,198.978,208.747,198.774
188,209.434,189.034,200.058,209.841,199.554
189,210.547,190.053,201.193,210.952,200.299
190,211.625,191.057,202.326,212.021,201.044
191,212.724,192.145,203.476,213.131,201.832
192,213.773,193.188,204.561,214.192,202.570
193,214.797,194.210,205.656,215.226,203.285
194,215.771,195.187,206.743,216.204,203.986
195,216.784,196.191,207.844,217.203,204.716
196,217.840,197.253,208.955,218.241,205.471
197,218.914,198.329,210.037,219.349,206.242
198,219.954,199.358,211.098,220.391,206.971
199,220.975,200.376,212.133,221.417,207.675
200,222.073,201.468,213.263,222.538,208.386
201,223.326,202.633,214.478,223.814,209.119
202,224.635,203.809,215.693,225.099,209.860
203,225.895,205.010,216.925,226.322,210.630
204,227.070,206.173,218.198,227.471,211.365
205,228.144,207.256,219.418,228.514,212.027
206,229.189,208.365,220.633,229.557,212.668
207,230.273,209.525,221.923,230.660,213.262
208,231.460,210.750,223.279,231.837,213.844
209,232.624,212.002,224.659,232.974,214.434
