input,Highlight -7,Highlight -5,Highlight -3,Highlight -1,Highlight +1,Highlight +3,Highlight +5,Highlight +7,Midtone -7,Midtone -5,Midtone -3,Midtone -1,Midtone +1,Midtone +3,Midtone +5,Midtone +7,Shadow -7,Shadow -5,Shadow -3,Shadow -1,Shadow +1,Shadow +3,Shadow +5,Shadow +7,Contrast -2,Contrast -1,Contrast +1,Contrast +2,High Key,Low Key
21,21.128,21.049,20.997,21.061,21.177,20.903,21.057,20.760,2.822,7.906,12.557,18.383,23.606,28.518,33.739,39.376,1.569,6.174,12.150,18.108,23.768,29.636,35.565,41.431,25.636,23.322,17.042,13.851,21.291,13.901
22,22.126,22.065,22.011,22.072,22.215,21.919,22.053,21.767,2.988,8.304,13.181,19.247,24.734,29.959,35.444,41.351,1.712,6.612,12.835,18.987,24.921,30.971,37.250,43.239,26.813,24.470,17.871,14.604,22.311,14.611
23,23.076,23.037,22.968,23.056,23.248,22.916,23.045,22.739,3.191,8.686,13.808,20.098,25.853,31.333,37.136,43.200,1.847,7.031,13.522,19.893,26.059,32.206,38.810,45.020,28.019,25.581,18.693,15.334,23.296,15.312
24,24.057,23.995,23.923,24.029,24.249,23.915,24.060,23.737,3.383,9.062,14.437,20.899,26.941,32.673,38.809,44.992,1.973,7.504,14.188,20.821,27.189,33.447,40.334,46.759,29.283,26.678,19.519,16.041,24.252,16.010
25,25.072,24.975,24.887,25.020,25.289,24.928,25.059,24.734,3.573,9.470,15.066,21.719,28.047,34.023,40.423,46.916,2.191,7.972,14.874,21.769,28.242,34.743,41.897,48.478,30.619,27.777,20.347,16.759,25.219,16.743
26,26.065,25.944,25.898,25.999,26.306,25.959,26.054,25.731,3.759,9.868,15.711,22.566,29.169,35.439,41.986,48.924,2.431,8.510,15.606,22.691,29.275,36.056,43.392,50.168,31.968,28.892,21.191,17.517,26.208,17.495
27,27.071,26.932,26.912,26.973,27.301,26.974,27.059,26.749,3.941,10.297,16.346,23.423,30.238,36.881,43.632,50.807,2.667,9.052,16.370,23.587,30.347,37.296,44.846,51.842,33.298,30.081,22.098,18.288,27.204,18.254
28,28.067,27.953,27.951,27.950,28.304,27.986,28.049,27.762,4.161,10.733,16.966,24.273,31.273,38.264,45.274,52.556,2.893,9.646,17.134,24.435,31.410,38.491,46.283,53.481,34.611,31.232,23.013,19.081,28.209,19.012
29,29.050,28.947,28.985,28.953,29.290,28.996,29.013,28.771,4.399,11.183,17.606,25.150,32.355,39.597,46.873,54.333,3.210,10.268,17.927,25.281,32.457,39.726,47.737,55.042,35.929,32.349,23.925,19.889,29.236,19.790
30,30.074,29.979,30.045,29.980,30.308,30.024,29.982,29.834,4.639,11.671,18.256,26.027,33.506,40.922,48.461,56.101,3.615,10.918,18.731,26.119,33.473,40.961,49.128,56.508,37.268,33.502,24.880,20.705,30.289,20.593
