input,Highlight -7,Highlight -5,Highlight -3,Highlight -1,Highlight +1,Highlight +3,Highlight +5,Highlight +7,Midtone -7,Midtone -5,Midtone -3,Midtone -1,Midtone +1,Midtone +3,Midtone +5,Midtone +7,Shadow -7,Shadow -5,Shadow -3,Shadow -1,Shadow +1,Shadow +3,Shadow +5,Shadow +7,Contrast -2,Contrast -1,Contrast +1,Contrast +2,High Key,Low Key
103,103.336,102.822,103.295,102.909,103.826,103.112,102.565,102.544,44.666,62.033,76.285,94.209,110.937,127.208,143.843,160.824,95.923,99.620,102.370,102.178,103.100,103.814,105.844,106.478,105.352,104.298,100.199,98.373,109.282,96.130
104,104.359,103.795,104.282,103.917,104.815,104.108,103.551,103.544,45.517,62.948,77.205,95.174,111.940,128.282,144.902,161.923,97.312,100.889,103.535,103.201,104.045,104.649,106.564,107.056,106.185,105.184,101.338,99.655,110.454,97.272
105,105.363,104.768,105.251,104.891,105.780,105.072,104.516,104.508,46.376,63.844,78.094,96.119,112.943,129.326,145.969,163.033,98.633,102.157,104.685,104.223,104.971,105.492,107.307,107.643,107.010,106.060,102.474,100.884,111.607,98.385
106,106.348,105.748,106.219,105.850,106.742,106.060,105.495,105.492,47.252,64.758,79.019,97.073,113.955,130.344,147.033,164.132,99.943,103.443,105.810,105.253,105.912,106.336,108.055,108.243,107.808,106.913,103.586,102.090,112.769,99.514
107,107.329,106.722,107.202,106.840,107.720,107.036,106.475,106.490,48.138,65.667,79.942,98.005,114.972,131.347,148.104,165.241,101.242,104.688,106.949,106.303,106.863,107.182,108.803,108.883,108.619,107.764,104.707,103.275,113.881,100.610
108,108.322,107.698,108.176,107.834,108.708,108.007,107.458,107.480,49.055,66.572,80.870,98.950,115.992,132.371,149.207,166.353,102.599,105.944,108.066,107.356,107.821,108.037,109.555,109.537,109.440,108.625,105.855,104.497,115.004,101.702
109,109.300,108.680,109.156,108.821,109.719,109.003,108.434,108.479,49.993,67.497,81.786,99.921,117.032,133.425,150.327,167.430,103.965,107.170,109.213,108.388,108.761,108.908,110.329,110.225,110.263,109.502,107.012,105.716,116.173,102.824
110,110.289,109.669,110.179,109.829,110.730,110.004,109.430,109.487,50.945,68.452,82.722,100.889,118.074,134.475,151.398,168.497,105.295,108.353,110.333,109.439,109.725,109.777,111.139,110.957,111.109,110.399,108.175,106.950,117.338,103.974
111,111.277,110.676,111.202,110.813,111.724,111.009,110.447,110.490,51.900,69.405,83.694,101.881,119.109,135.533,152.481,169.558,106.586,109.488,111.449,110.481,110.698,110.659,111.948,111.690,111.974,111.326,109.357,108.214,118.525,105.144
112,112.285,111.678,112.223,111.816,112.751,112.033,111.457,111.495,52.835,70.357,84.658,102.882,120.117,136.548,153.533,170.623,107.838,110.632,112.560,111.520,111.676,111.556,112.796,112.477,112.857,112.245,110.536,109.501,119.681,106.303
113,113.303,112.674,113.254,112.830,113.783,113.051,112.476,112.504,53.788,71.328,85.617,103.879,121.125,137.563,154.575,171.672,109.067,111.766,113.645,112.573,112.667,112.456,113.664,113.299,113.752,113.208,111.741,110.817,120.855,107.489
114,114.325,113.680,114.288,113.856,114.821,114.067,113.499,113.521,54.740,72.322,86.623,104.918,122.131,138.563,155.622,172.731,110.273,112.929,114.742,113.653,113.679,113.411,114.577,114.145,114.669,114.204,112.942,112.182,122.107,108.689
115,115.345,114.696,115.328,114.868,115.855,115.105,114.509,114.535,55.701,73.331,87.642,105.932,123.170,139.587,156.676,173.777,111.462,114.071,115.832,114.704,114.694,114.360,115.494,115.012,115.601,115.186,114.099,113.569,123.352,109.868
116,116.362,115.714,116.334,115.881,116.864,116.103,115.492,115.547,56.647,74.322,88.648,106.919,124.176,140.597,157.735,174.802,112.621,115.164,116.885,115.746,115.703,115.324,116.428,115.889,116.532,116.186,115.221,114.941,124.605,111.041
117,117.348,116.729,117.328,116.878,117.843,117.084,116.478,116.555,57.622,75.316,89.650,107.913,125.184,141.594,158.760,175.824,113.775,116.243,117.923,116.774,116.707,116.286,117.371,116.752,117.437,117.169,116.339,116.280,125.876,112.210
118,118.351,117.742,118.306,117.853,118.809,118.078,117.470,117.552,58.607,76.305,90.633,108.870,126.175,142.575,159.741,176.831,114.868,117.320,118.974,117.797,117.716,117.256,118.305,117.616,118.323,118.124,117.441,117.576,127.129,113.367
119,119.330,118.742,119.282,118.841,119.782,119.073,118.470,118.547,59.602,77.281,91.629,109.842,127.155,143.573,160.747,177.823,115.986,118.366,120.004,118.799,118.697,118.205,119.262,118.513,119.207,119.090,118.553,118.859,128.432,114.523
120,120.281,119.745,120.261,119.847,120.763,120.074,119.495,119.564,60.600,78.264,92.632,110.836,128.156,144.570,161.747,178.834,117.099,119.399,121.007,119.802,119.679,119.155,120.212,119.435,120.096,120.051,119.653,120.119,129.693,115.616
121,121.238,120.741,121.253,120.862,121.751,121.074,120.499,120.573,61.591,79.253,93.630,111.834,129.146,145.580,162.744,179.796,118.231,120.438,122.008,120.812,120.685,120.115,121.179,120.366,120.961,121.011,120.727,121.354,130.925,116.718
122,122.164,121.729,122.218,121.863,122.765,122.088,121.500,121.612,62.600,80.253,94.637,112.825,130.133,146.587,163.723,180.806,119.351,121.480,123.009,121.838,121.691,121.089,122.177,121.339,121.833,121.988,121.830,122.547,132.148,117.793
123,123.069,122.687,123.173,122.871,123.777,123.118,122.505,122.688,63.616,81.254,95.648,113.851,131.140,147.599,164.727,181.825,120.441,122.501,123.981,122.843,122.695,122.079,123.171,122.333,122.675,122.979,122.924,123.722,133.369,118.878
124,123.958,123.631,124.132,123.895,124.792,124.164,123.544,123.802,64.645,82.286,96.657,114.857,132.148,148.644,165.745,182.831,121.495,123.513,124.999,123.868,123.701,123.097,124.188,123.342,123.488,123.951,124.005,124.856,134.548,119.945
125,124.847,124.549,125.090,124.917,125.808,125.232,124.635,124.926,65.695,83.314,97.661,115.867,133.147,149.666,166.736,183.821,122.564,124.538,126.025,124.891,124.719,124.132,125.180,124.361,124.311,124.914,125.077,125.977,135.742,120.999
126,125.734,125.453,126.021,125.906,126.822,126.280,125.734,126.057,66.757,84.367,98.683,116.892,134.158,150.671,167.700,184.809,123.583,125.561,127.053,125.924,125.733,125.147,126.163,125.372,125.133,125.845,126.164,127.064,136.961,122.066
127,126.591,126.342,126.949,126.867,127.845,127.329,126.839,127.198,67.815,85.437,99.687,117.894,135.141,151.644,168.656,185.745,124.597,126.565,128.054,126.924,126.714,126.129,127.156,126.385,125.936,126.779,127.240,128.145,138.158,123.146
128,127.428,127.210,127.854,127.799,128.862,128.365,127.942,128.326,68.862,86.488,100.688,118.911,136.120,152.597,169.603,186.632,125.603,127.554,129.032,127.901,127.695,127.118,128.130,127.373,126.749,127.677,128.286,129.216,139.294,124.206
129,128.246,128.065,128.738,128.701,129.881,129.419,129.053,129.461,69.933,87.534,101.695,119.896,137.112,153.526,170.515,187.508,126.578,128.524,129.992,128.873,128.672,128.090,129.105,128.339,127.564,128.564,129.328,130.269,140.382,125.241
130,129.037,128.902,129.622,129.630,130.907,130.497,130.164,130.607,71.022,88.581,102.721,120.863,138.086,154.446,171.403,188.378,127.558,129.492,130.973,129.844,129.637,129.064,130.096,129.311,128.404,129.462,130.351,131.359,141.441,126.257
131,129.823,129.736,130.502,130.577,131.922,131.601,131.295,131.801,72.126,89.659,103.788,121.852,139.065,155.366,172.282,189.238,128.532,130.477,131.955,130.836,130.621,130.036,131.076,130.289,129.240,130.375,131.397,132.467,142.500,127.290
132,130.589,130.567,131.373,131.533,132.941,132.713,132.465,133.030,73.249,90.742,104.857,122.850,140.058,156.304,173.157,190.098,129.519,131.466,132.926,131.816,131.617,131.036,132.072,131.281,130.120,131.319,132.452,133.587,143.554,128.331
133,131.347,131.398,132.256,132.506,133.994,133.855,133.661,134.254,74.390,91.815,105.923,123.869,141.060,157.268,174.050,190.933,130.508,132.453,133.941,132.826,132.616,132.037,133.084,132.274,131.013,132.254,133.526,134.733,144.637,129.384
134,132.066,132.218,133.134,133.480,135.065,134.993,134.847,135.511,75.528,92.890,106.986,124.876,142.056,158.242,174.994,191.793,131.504,133.473,134.943,133.830,133.634,133.055,134.089,133.292,131.934,133.206,134.610,135.897,145.748,130.458
135,132.749,133.025,134.013,134.455,136.132,136.146,136.090,136.804,76.673,93.959,108.067,125.912,143.056,159.179,175.935,192.651,132.525,134.483,135.948,134.850,134.667,134.077,135.098,134.299,132.848,134.162,135.704,137.093,146.864,131.539
136,133.423,133.826,134.913,135.424,137.192,137.278,137.309,138.114,77.832,95.041,109.151,126.985,144.066,160.103,176.863,193.531,133.570,135.501,136.956,135.849,135.704,135.115,136.100,135.308,133.797,135.138,136.798,138.293,148.012,132.611
137,134.083,134.592,135.797,136.390,138.260,138.403,138.577,139.444,79.008,96.160,110.234,128.040,145.050,161.024,177.790,194.404,134.590,136.513,137.963,136.846,136.711,136.132,137.106,136.312,134.730,136.086,137.865,139.484,149.175,133.665
138,134.718,135.321,136.666,137.349,139.320,139.513,139.889,140.788,80.178,97.275,111.297,129.071,146.002,161.945,178.691,195.257,135.595,137.528,138.948,137.844,137.689,137.119,138.103,137.291,135.644,137.013,138.921,140.669,150.334,134.704
139,135.320,136.026,137.544,138.289,140.362,140.632,141.200,142.142,81.350,98.383,112.360,130.115,146.952,162.880,179.579,196.103,136.589,138.526,139.948,138.847,138.673,138.093,139.094,138.284,136.537,137.951,140.006,141.809,151.476,135.733
140,135.896,136.701,138.367,139.207,141.394,141.752,142.464,143.524,82.497,99.493,113.419,131.126,147.899,163.797,180.459,196.911,137.583,139.519,140.936,139.847,139.664,139.082,140.083,139.289,137.433,138.891,141.066,142.941,152.641,136.780
141,136.465,137.379,139.187,140.103,142.389,142.898,143.736,144.906,83.653,100.609,114.502,132.121,148.854,164.697,181.323,197.685,138.593,140.508,141.889,140.840,140.643,140.082,141.077,140.290,138.344,139.875,142.113,144.083,153.855,137.836
142,137.027,138.070,140.000,141.001,143.380,144.044,144.973,146.320,84.807,101.738,115.595,133.124,149.808,165.583,182.186,198.453,139.620,141.518,142.854,141.843,141.631,141.104,142.067,141.296,139.257,140.879,143.188,145.197,155.099,138.873
143,137.563,138.748,140.815,141.917,144.370,145.199,146.236,147.746,85.981,102.870,116.710,134.156,150.772,166.461,183.047,199.212,140.655,142.528,143.824,142.853,142.635,142.150,143.070,142.310,140.163,141.860,144.253,146.316,156.329,139.923
144,138.098,139.437,141.635,142.858,145.379,146.380,147.521,149.206,87.181,104.008,117.792,135.184,151.720,167.326,183.853,199.963,141.694,143.510,144.786,143.837,143.624,143.151,144.048,143.309,141.074,142.833,145.320,147.418,157.569,141.015
145,138.626,140.133,142.474,143.811,146.431,147.590,148.864,150.719,88.419,105.196,118.905,136.226,152.669,168.212,184.667,200.705,142.751,144.497,145.745,144.816,144.626,144.163,145.026,144.305,142.006,143.824,146.406,148.549,158.817,142.144
146,139.173,140.828,143.317,144.779,147.525,148.836,150.270,152.218,89.653,106.431,120.053,137.279,153.643,169.117,185.481,201.468,143.798,145.484,146.720,145.798,145.623,145.164,146.015,145.310,142.961,144.819,147.514,149.715,160.129,143.342
147,139.710,141.515,144.137,145.741,148.678,150.079,151.660,153.736,90.915,107.698,121.187,138.327,154.633,170.041,186.294,202.231,144.851,146.496,147.747,146.799,146.633,146.182,147.026,146.321,143.912,145.791,148.616,150.900,161.484,144.530
148,140.238,142.191,144.938,146.674,149.802,151.317,153.000,155.299,92.161,108.931,122.306,139.384,155.620,170.972,187.128,202.996,145.849,147.510,148.820,147.819,147.650,147.180,148.034,147.321,144.853,146.750,149.692,152.056,162.828,145.704
149,140.735,142.838,145.708,147.564,150.859,152.566,154.309,156.824,93.378,110.117,123.398,140.399,156.593,171.884,187.967,203.750,146.801,148.512,149.853,148.827,148.660,148.168,149.050,148.325,145.756,147.671,150.734,153.168,164.118,146.848
150,141.224,143.466,146.461,148.442,151.869,153.797,155.602,158.354,94.575,111.251,124.484,141.427,157.571,172.791,188.787,204.507,147.748,149.511,150.848,149.831,149.675,149.172,150.080,149.332,146.625,148.559,151.756,154.262,165.332,147.974
151,141.713,144.099,147.208,149.324,152.867,155.028,156.918,159.873,95.809,112.395,125.572,142.449,158.556,173.683,189.581,205.266,148.730,150.521,151.839,150.841,150.685,150.186,151.082,150.338,147.488,149.459,152.802,155.345,166.507,149.098
152,142.203,144.731,147.948,150.214,153.871,156.235,158.280,161.395,97.067,113.569,126.670,143.469,159.535,174.556,190.358,206.046,149.768,151.545,152.838,151.858,151.695,151.205,152.082,151.345,148.339,150.353,153.883,156.452,167.684,150.251
153,142.689,145.363,148.700,151.135,154.931,157.432,159.677,162.882,98.345,114.769,127.779,144.491,160.489,175.433,191.140,206.806,150.829,152.566,153.823,152.867,152.696,152.221,153.078,152.360,149.215,151.267,154.972,157.600,168.874,151.439
154,143.169,145.993,149.470,152.084,156.011,158.593,161.062,164.364,99.604,115.976,128.868,145.533,161.430,176.295,191.917,207.547,151.867,153.568,154.820,153.852,153.689,153.228,154.088,153.357,150.081,152.198,156.050,158.756,170.038,152.609
155,143.629,146.613,150.231,153.030,157.082,159.799,162.437,165.851,100.874,117.175,129.918,146.576,162.373,177.160,192.684,208.266,152.867,154.557,155.834,154.851,154.681,154.220,155.094,154.342,150.903,153.125,157.177,159.927,171.193,153.748
156,144.085,147.220,150.967,153.947,158.126,161.011,163.815,167.354,102.167,118.352,130.974,147.619,163.307,178.035,193.455,208.989,153.854,155.551,156.835,155.838,155.672,155.204,156.088,155.340,151.734,154.034,158.336,161.118,172.360,154.860
157,144.544,147.842,151.707,154.842,159.180,162.243,165.203,168.907,103.486,119.547,132.086,148.689,164.265,178.945,194.256,209.685,154.850,156.556,157.846,156.845,156.671,156.219,157.080,156.350,152.567,154.926,159.466,162.333,173.531,155.973
158,145.008,148.463,152.447,155.751,160.255,163.487,166.571,170.442,104.829,120.770,133.227,149.722,165.193,179.834,195.064,210.379,155.872,157.567,158.825,157.851,157.669,157.230,158.074,157.366,153.405,155.820,160.614,163.561,174.672,157.088
159,145.481,149.098,153.194,156.676,161.352,164.745,167.976,172.028,106.154,122.028,134.433,150.771,166.122,180.714,195.881,211.076,156.897,158.574,159.809,158.851,158.662,158.250,159.075,158.383,154.260,156.698,161.748,164.772,175.816,158.215
160,145.964,149.731,153.947,157.637,162.471,165.981,169.378,173.618,107.497,123.308,135.657,151.838,167.085,181.589,196.663,211.748,157.929,159.581,160.785,159.866,159.695,159.266,160.071,159.404,155.125,157.607,162.877,165.943,176.976,159.366
161,146.454,150.368,154.711,158.625,163.594,167.257,170.774,175.144,108.854,124.608,136.885,152.937,168.075,182.436,197.423,212.425,158.970,160.592,161.812,160.886,160.707,160.285,161.069,160.418,155.990,158.542,164.014,167.131,178.158,160.527
162,146.937,150.996,155.486,159.581,164.731,168.524,172.114,176.660,110.243,125.923,138.080,154.055,169.079,183.293,198.174,213.091,159.981,161.591,162.826,161.885,161.691,161.263,162.074,161.412,156.834,159.444,165.082,168.357,179.373,161.663
163,147.408,151.611,156.270,160.524,165.874,169.780,173.463,178.243,111.612,127.223,139.247,155.134,170.066,184.146,198.898,213.769,160.928,162.578,163.865,162.871,162.677,162.228,163.061,162.381,157.680,160.334,166.153,169.567,180.556,162.789
164,147.869,152.223,157.058,161.445,166.984,171.031,174.833,179.822,112.979,128.489,140.387,156.192,171.032,184.998,199.647,214.446,161.858,163.568,164.876,163.861,163.666,163.187,164.052,163.349,158.517,161.232,167.217,170.760,181.733,163.889
165,148.330,152.844,157.867,162.381,168.096,172.281,176.232,181.376,114.349,129.765,141.546,157.230,171.984,185.882,200.406,215.149,162.809,164.586,165.913,164.877,164.675,164.209,165.097,164.358,159.367,162.130,168.241,171.919,182.943,165.015
166,148.801,153.481,158.687,163.331,169.216,173.616,177.710,182.936,115.759,131.071,142.727,158.271,172.918,186.780,201.181,215.841,163.849,165.644,166.977,165.938,165.728,165.265,166.167,165.408,160.220,163.057,169.262,173.091,184.167,166.137
167,149.277,154.116,159.506,164.284,170.336,174.922,179.161,184.506,117.185,132.405,143.931,159.342,173.864,187.662,201.955,216.489,164.902,166.717,168.050,167.019,166.792,166.328,167.239,166.477,161.061,163.986,170.310,174.282,185.365,167.252
168,149.749,154.728,160.312,165.198,171.454,176.208,180.562,186.110,118.627,133.744,145.131,160.416,174.827,188.533,202.690,217.115,165.943,167.770,169.076,168.069,167.848,167.388,168.286,167.536,161.892,164.917,171.386,175.456,186.506,168.335
169,150.222,155.323,161.103,166.116,172.545,177.452,181.913,187.714,120.031,135.034,146.289,161.446,175.774,189.375,203.398,217.700,166.995,168.769,170.024,169.061,168.874,168.416,169.273,168.557,162.690,165.828,172.472,176.612,187.640,169.386
170,150.696,155.921,161.860,167.006,173.616,178.633,183.218,189.248,121.386,136.282,147.430,162.452,176.711,190.178,204.084,218.277,168.020,169.720,170.972,170.015,169.841,169.400,170.215,169.540,163.480,166.745,173.579,177.767,188.795,170.416
171,151.171,156.506,162.592,167.882,174.674,179.765,184.448,190.626,122.718,137.480,148.557,163.440,177.626,190.964,204.767,218.832,168.998,170.632,171.919,170.932,170.780,170.326,171.119,170.470,164.253,167.632,174.648,178.906,189.978,171.426
172,151.653,157.092,163.328,168.761,175.760,180.963,185.703,192.033,124.069,138.694,149.657,164.435,178.555,191.746,205.452,219.416,169.930,171.564,172.894,171.872,171.718,171.253,172.060,171.405,165.038,168.523,175.724,180.070,191.165,172.420
173,152.139,157.710,164.094,169.681,176.819,182.197,187.043,193.467,125.419,139.899,150.768,165.447,179.498,192.554,206.143,220.004,170.845,172.533,173.873,172.850,172.690,172.206,173.039,172.348,165.849,169.442,176.848,181.285,192.363,173.441
174,152.639,158.334,164.898,170.634,177.851,183.441,188.408,194.939,126.772,141.136,151.925,166.487,180.437,193.377,206.841,220.591,171.781,173.532,174.858,173.853,173.676,173.178,174.038,173.351,166.687,170.396,178.047,182.531,193.579,174.517
175,153.147,158.957,165.711,171.562,178.870,184.646,189.789,196.441,128.153,142.381,153.110,167.557,181.387,194.205,207.553,221.185,172.778,174.545,175.866,174.854,174.675,174.193,175.056,174.359,167.548,171.396,179.317,183.787,194.789,175.602
176,153.660,159.598,166.520,172.483,179.896,185.804,191.179,197.952,129.527,143.662,154.317,168.650,182.350,195.024,208.262,221.758,173.776,175.537,176.869,175.842,175.686,175.200,176.075,175.354,168.422,172.397,180.557,185.029,195.959,176.647
177,154.188,160.254,167.323,173.407,180.949,186.992,192.547,199.395,130.951,144.977,155.474,169.703,183.330,195.853,208.969,222.327,174.782,176.516,177.905,176.856,176.675,176.183,177.068,176.337,169.290,173.378,181.719,186.277,197.105,177.718
178,154.723,160.924,168.134,174.332,182.029,188.196,193.850,200.787,132.410,146.313,156.624,170.736,184.302,196.686,209.641,222.882,175.772,177.491,178.901,177.859,177.669,177.170,178.066,177.330,170.162,174.355,182.837,187.522,198.318,178.799
179,155.268,161.605,168.961,175.280,183.093,189.388,195.128,202.218,133.877,147.643,157.803,171.814,185.251,197.535,210.320,223.444,176.765,178.485,179.928,178.863,178.660,178.166,179.063,178.317,171.027,175.308,183.949,188.780,199.508,179.893
180,155.815,162.278,169.748,176.198,184.090,190.480,196.372,203.666,135.304,148.924,158.990,172.876,186.144,198.362,211.009,224.008,177.731,179.497,180.927,179.839,179.635,179.141,180.052,179.309,171.885,176.209,185.056,190.016,200.666,180.971
181,156.381,162.968,170.533,177.135,185.106,191.598,197.697,205.129,136.760,150.235,160.179,173.930,187.047,199.170,211.729,224.599,178.717,180.517,181.917,180.836,180.639,180.150,181.055,180.318,172.761,177.125,186.165,191.245,201.803,182.082
182,156.952,163.678,171.311,178.081,186.125,192.709,198.984,206.534,138.192,151.572,161.327,174.939,187.946,199.943,212.457,225.189,179.705,181.483,182.929,181.831,181.634,181.140,182.069,181.316,173.642,178.093,187.294,192.480,202.950,183.161
183,157.490,164.375,172.076,178.998,187.153,193.856,200.216,207.918,139.556,152.871,162.468,175.961,188.846,200.695,213.155,225.768,180.644,182.437,183.912,182.798,182.590,182.117,183.050,182.289,174.505,179.026,188.337,193.663,204.044,184.145
184,158.032,165.080,172.844,179.892,188.186,195.008,201.444,209.301,140.908,154.106,163.591,176.996,189.759,201.450,213.823,226.319,181.566,183.402,184.885,183.758,183.544,183.094,183.996,183.235,175.343,179.933,189.337,194.837,205.125,185.111
185,158.553,165.767,173.607,180.735,189.153,196.083,202.645,210.638,142.232,155.277,164.657,177.975,190.603,202.188,214.426,226.837,182.474,184.338,185.802,184.675,184.472,184.013,184.907,184.138,176.120,180.779,190.269,195.918,206.141,186.024
186,159.128,166.506,174.443,181.655,190.161,197.178,203.938,212.010,143.673,156.576,165.780,178.967,191.479,202.988,215.050,227.360,183.450,185.312,186.761,185.642,185.454,184.993,185.867,185.108,176.969,181.663,191.253,197.047,207.237,186.989
187,159.745,167.270,175.309,182.617,191.186,198.322,205.245,213.400,145.177,157.934,166.989,180.062,192.397,203.809,215.709,227.907,184.476,186.328,187.775,186.655,186.464,185.997,186.864,186.119,177.863,182.587,192.332,198.178,208.332,188.014
188,160.387,168.011,176.144,183.532,192.238,199.438,206.423,214.754,146.608,159.277,168.180,181.153,193.313,204.610,216.367,228.438,185.465,187.310,188.763,187.654,187.447,186.982,187.856,187.116,178.727,183.500,193.378,199.258,209.434,189.034
189,161.074,168.766,176.972,184.473,193.317,200.583,207.584,216.117,148.106,160.665,169.366,182.287,194.266,205.416,217.041,228.977,186.465,188.311,189.802,188.662,188.438,187.983,188.873,188.125,179.611,184.449,194.419,200.343,210.547,190.053
190,161.823,169.558,177.833,185.491,194.407,201.766,208.832,217.542,149.716,162.115,170.553,183.428,195.222,206.270,217.744,229.552,187.481,189.353,190.844,189.697,189.477,189.012,189.917,189.149,180.531,185.460,195.482,201.472,211.625,191.057
191,162.641,170.392,178.768,186.584,195.533,203.030,210.164,218.961,151.405,163.635,171.880,184.591,196.196,207.167,218.471,230.151,188.558,190.451,191.956,190.779,190.559,190.112,191.007,190.225,181.499,186.495,196.577,202.648,212.724,192.145
192,163.428,171.187,179.689,187.612,196.588,204.216,211.384,220.263,152.973,165.095,173.146,185.630,197.122,207.981,219.138,230.696,189.600,191.466,193.000,191.801,191.572,191.130,192.054,191.251,182.429,187.480,197.609,203.745,213.773,193.188
193,164.209,171.978,180.613,188.584,197.632,205.358,212.524,221.507,154.500,166.502,174.322,186.649,198.067,208.782,219.777,231.211,190.571,192.457,194.008,192.801,192.577,192.135,193.076,192.260,183.383,188.478,198.624,204.802,214.797,194.210
194,164.963,172.752,181.497,189.507,198.629,206.417,213.647,222.679,155.965,167.787,175.438,187.654,199.016,209.550,220.402,231.698,191.507,193.424,194.950,193.764,193.549,193.099,194.069,193.242,184.340,189.461,199.633,205.858,215.771,195.187
195,165.749,173.592,182.399,190.453,199.645,207.461,214.787,223.847,157.438,169.074,176.648,188.661,199.984,210.335,221.052,232.197,192.484,194.404,195.888,194.734,194.534,194.095,195.031,194.225,185.358,190.471,200.667,206.941,216.784,196.191
196,166.596,174.490,183.330,191.431,200.696,208.536,215.959,225.049,158.908,170.454,177.917,189.719,200.968,211.152,221.707,232.691,193.513,195.381,196.883,195.724,195.521,195.101,196.004,195.217,186.406,191.501,201.710,208.068,217.840,197.253
197,167.489,175.418,184.290,192.441,201.762,209.627,217.142,226.256,160.444,171.879,179.180,190.783,201.946,211.982,222.386,233.186,194.568,196.389,197.948,196.760,196.538,196.115,197.012,196.213,187.498,192.586,202.806,209.192,218.914,198.329
198,168.335,176.294,185.206,193.392,202.762,210.703,218.277,227.385,161.990,173.197,180.358,191.841,202.888,212.786,223.038,233.636,195.554,197.390,198.906,197.776,197.523,197.105,198.005,197.199,188.547,193.634,203.874,210.278,219.954,199.358
199,169.161,177.152,186.108,194.316,203.708,211.739,219.365,228.470,163.507,174.478,181.558,192.878,203.798,213.562,223.646,234.092,196.529,198.395,199.816,198.758,198.512,198.120,198.967,198.198,189.604,194.678,204.949,211.335,220.975,200.376
200,170.064,178.039,187.047,195.257,204.673,212.798,220.475,229.558,165.036,175.842,182.866,193.980,204.749,214.362,224.294,234.542,197.599,199.389,200.765,199.733,199.495,199.147,199.926,199.222,190.701,195.746,206.034,212.462,222.073,201.468
201,171.060,179.000,188.042,196.237,205.683,213.845,221.569,230.632,166.577,177.281,184.170,195.095,205.746,215.182,224.965,235.026,198.688,200.387,201.771,200.722,200.489,200.162,200.929,200.245,191.908,196.865,207.152,213.647,223.326,202.633
202,172.107,180.027,189.063,197.249,206.713,214.863,222.665,231.715,168.222,178.690,185.463,196.220,206.752,215.989,225.632,235.491,199.741,201.420,202.806,201.746,201.504,201.163,201.954,201.256,193.132,198.039,208.301,214.877,224.635,203.809
203,173.145,181.061,190.109,198.293,207.755,215.895,223.749,232.778,169.849,180.082,186.767,197.335,207.729,216.780,226.304,235.959,200.764,202.470,203.856,202.797,202.559,202.212,203.026,202.290,194.363,199.227,209.480,216.104,225.895,205.010
204,174.155,182.089,191.106,199.322,208.769,216.911,224.816,233.823,171.489,181.479,188.060,198.438,208.659,217.553,226.965,236.393,201.779,203.487,204.868,203.827,203.598,203.254,204.071,203.325,195.598,200.405,210.684,217.337,227.070,206.173
205,175.121,183.097,192.066,200.302,209.736,217.892,225.835,234.831,172.979,182.830,189.288,199.525,209.517,218.286,227.567,236.821,202.801,204.476,205.793,204.806,204.590,204.251,205.041,204.327,196.820,201.522,211.840,218.550,228.144,207.256
206,176.098,184.053,192.992,201.253,210.709,218.851,226.819,235.801,174.410,184.100,190.498,200.586,210.364,219.011,228.176,237.248,203.838,205.447,206.694,205.764,205.556,205.237,205.963,205.294,198.005,202.635,212.971,219.791,229.189,208.365
207,177.099,185.038,193.962,202.180,211.681,219.774,227.755,236.748,175.926,185.371,191.716,201.615,211.219,219.735,228.765,237.681,204.859,206.388,207.607,206.677,206.474,206.174,206.876,206.232,199.234,203.763,214.093,221.050,230.273,209.525
208,178.202,186.126,195.029,203.170,212.670,220.738,228.733,237.710,177.599,186.745,192.967,202.698,212.133,220.524,229.392,238.150,205.898,207.378,208.619,207.662,207.458,207.159,207.859,207.216,200.544,204.999,215.378,222.431,231.460,210.750
209,179.394,187.259,196.148,204.247,213.664,221.714,229.723,238.621,179.228,188.170,194.268,203.814,213.102,221.348,230.047,238.627,206.935,208.435,209.663,208.724,208.509,208.191,208.915,208.283,201.879,206.268,216.797,223.848,232.624,212.002
210,180.606,188.373,197.244,205.337,214.621,222.663,230.664,239.457,180.777,189.574,195.552,204.912,214.051,222.154,230.648,239.100,207.968,209.469,210.652,209.751,209.543,209.255,209.933,209.338,203.205,207.517,218.124,225.209,233.723,213.294
211,181.758,189.462,198.278,206.346,215.548,223.539,231.520,240.236,182.218,190.861,196.771,205.973,214.935,222.909,231.210,239.525,208.993,210.429,211.591,210.708,210.507,210.248,210.873,210.317,204.504,208.704,219.321,226.525,234.742,214.566
212,183.003,190.667,199.336,207.362,216.538,224.408,232.382,241.044,183.808,192.296,198.113,207.120,215.829,223.678,231.777,239.995,210.097,211.459,212.546,211.737,211.542,211.291,211.897,211.360,205.806,209.964,220.591,227.933,235.792,215.834
213,184.251,191.863,200.436,208.399,217.485,225.265,233.228,241.853,185.454,193.753,199.520,208.298,216.688,224.416,232.329,240.408,211.274,212.535,213.475,212.791,212.605,212.370,212.925,212.448,207.159,211.305,221.953,229.369,236.794,217.047
214,185.462,193.005,201.606,209.460,218.402,226.142,234.054,242.631,187.078,195.109,200.960,209.447,217.565,225.163,232.914,240.885,212.516,213.576,214.425,213.803,213.630,213.436,213.905,213.500,208.562,212.682,223.423,230.773,237.726,218.217
215,186.741,194.237,202.827,210.502,219.366,227.065,234.869,243.374,188.653,196.511,202.351,210.584,218.513,225.936,233.488,241.330,213.681,214.651,215.479,214.850,214.695,214.512,214.964,214.564,209.889,213.998,224.906,232.197,238.665,219.465
